Version checked: updated 
Download setup initialized...
newcards.ydk downloaded from repository 
Download setup done. Downloading newcards.ydk...
10705656 downloaded [86/11672]
10698416 downloaded [85/11672]
1073952 downloaded [92/11672]
10736540 downloaded [91/11672]
10691144 downloaded [84/11672]
1061200 downloaded [76/11672]
10712320 downloaded [87/11672]
10723472 downloaded [89/11672]
10789972 downloaded [97/11672]
1082946 downloaded [103/11672]
10753491 downloaded [93/11672]
10817524 downloaded [102/11672]
10755984 downloaded [95/11672]
10755153 downloaded [94/11672]
10805153 downloaded [99/11672]
10925955 downloaded [110/11672]
11047543 downloaded [120/11672]
10813327 downloaded [101/11672]
10877309 downloaded [108/11672]
10860121 downloaded [106/11672]
10960419 downloaded [112/11672]
10759529 downloaded [96/11672]
11021521 downloaded [117/11672]
10802915 downloaded [98/11672]
10852583 downloaded [105/11672]
10875327 downloaded [107/11672]
10928224 downloaded [111/11672]
10833828 downloaded [104/11672]
10920352 downloaded [109/11672]
10963799 downloaded [113/11672]
11052544 downloaded [122/11672]
10979723 downloaded [115/11672]
11067666 downloaded [123/11672]
10971759 downloaded [114/11672]
11102908 downloaded [127/11672]
11136371 downloaded [132/11672]
11224934 downloaded [140/11672]
11125718 downloaded [130/11672]
11039171 downloaded [119/11672]
1102515 downloaded [118/11672]
11082056 downloaded [126/11672]
11109820 downloaded [128/11672]
11050415 downloaded [121/11672]
11193246 downloaded [137/11672]
111280 downloaded [131/11672]
11074235 downloaded [125/11672]
11012887 downloaded [116/11672]
11232355 downloaded [142/11672]
11110587 downloaded [129/11672]
11069680 downloaded [124/11672]
11366199 downloaded [152/11672]
1142880 downloaded [160/11672]
11159464 downloaded [133/11672]
11163040 downloaded [134/11672]
11234702 downloaded [143/11672]
11167052 downloaded [135/11672]
11224103 downloaded [139/11672]
1127737 downloaded [147/11672]
11317977 downloaded [150/11672]
11221418 downloaded [138/11672]
11324436 downloaded [151/11672]
11287364 downloaded [148/11672]
11228035 downloaded [141/11672]
11439455 downloaded [162/11672]
11270236 downloaded [146/11672]
11398059 downloaded [157/11672]
11264180 downloaded [145/11672]
11548522 downloaded [180/11672]
11373345 downloaded [153/11672]
1118137 downloaded [136/11672]
11448373 downloaded [163/11672]
11384280 downloaded [155/11672]
11501629 downloaded [172/11672]
11260714 downloaded [144/11672]
11302671 downloaded [149/11672]
114932 downloaded [170/11672]
11411223 downloaded [159/11672]
11398951 downloaded [158/11672]
11375683 downloaded [154/11672]
11475049 downloaded [167/11672]
11471117 downloaded [166/11672]
11493868 downloaded [171/11672]
11593137 downloaded [182/11672]
11460577 downloaded [165/11672]
11481610 downloaded [168/11672]
11434258 downloaded [161/11672]
11516241 downloaded [177/11672]
11596936 downloaded [183/11672]
11502550 downloaded [173/11672]
1149109 downloaded [169/11672]
11458071 downloaded [164/11672]
11755663 downloaded [200/11672]
11510448 downloaded [175/11672]
11508758 downloaded [174/11672]
11390349 downloaded [156/11672]
11685347 downloaded [191/11672]
11699941 downloaded [192/11672]
11662742 downloaded [187/11672]
11682713 downloaded [190/11672]
11522979 downloaded [178/11672]
11613567 downloaded [185/11672]
11646785 downloaded [186/11672]
11678191 downloaded [189/11672]
1154611 downloaded [179/11672]
11556339 downloaded [181/11672]
11741041 downloaded [197/11672]
11790356 downloaded [202/11672]
11705261 downloaded [193/11672]
11674673 downloaded [188/11672]
11801343 downloaded [203/11672]
11722335 downloaded [195/11672]
11711438 downloaded [194/11672]
11743119 downloaded [198/11672]
11609969 downloaded [184/11672]
11868825 downloaded [212/11672]
11958188 downloaded [220/11672]
11830996 downloaded [207/11672]
11913700 downloaded [217/11672]
11747708 downloaded [199/11672]
11827244 downloaded [206/11672]
11760174 downloaded [201/11672]
11851647 downloaded [210/11672]
11834972 downloaded [208/11672]
11877465 downloaded [213/11672]
11845050 downloaded [209/11672]
11868731 downloaded [211/11672]
11969228 downloaded [222/11672]
1151281 downloaded [176/11672]
11819616 downloaded [205/11672]
11925569 downloaded [218/11672]
12171659 downloaded [237/11672]
11901678 downloaded [215/11672]
11813722 downloaded [204/11672]
11975962 downloaded [223/11672]
11961740 downloaded [221/11672]
12081875 downloaded [232/11672]
1218214 downloaded [240/11672]
11881272 downloaded [214/11672]
12071500 downloaded [229/11672]
11954712 downloaded [219/11672]
12014404 downloaded [226/11672]
1200843 downloaded [225/11672]
12076263 downloaded [230/11672]
12174035 downloaded [238/11672]
12079734 downloaded [231/11672]
12023931 downloaded [228/11672]
12196873 downloaded [242/11672]
12021072 downloaded [227/11672]
12097275 downloaded [233/11672]
12117532 downloaded [234/11672]
12183332 downloaded [241/11672]
12152769 downloaded [235/11672]
11738489 downloaded [196/11672]
12181376 downloaded [239/11672]
12289247 downloaded [257/11672]
1197847 downloaded [224/11672]
12247206 downloaded [250/11672]
122520 downloaded [252/11672]
1224927 downloaded [251/11672]
12197543 downloaded [243/11672]
12299841 downloaded [260/11672]
12235475 downloaded [249/11672]
12324546 downloaded [262/11672]
12296376 downloaded [258/11672]
12213463 downloaded [245/11672]
12253117 downloaded [253/11672]
12215894 downloaded [246/11672]
12219047 downloaded [248/11672]
12216615 downloaded [247/11672]
12307878 downloaded [261/11672]
12206212 downloaded [244/11672]
12470447 downloaded [277/11672]
12298909 downloaded [259/11672]
12255007 downloaded [254/11672]
12435193 downloaded [271/11672]
11908584 downloaded [216/11672]
12262393 downloaded [255/11672]
12472242 downloaded [278/11672]
12503902 downloaded [282/11672]
12423762 downloaded [270/11672]
12444060 downloaded [272/11672]
12398280 downloaded [267/11672]
1249315 downloaded [280/11672]
12338068 downloaded [263/11672]
12421694 downloaded [269/11672]
12385638 downloaded [266/11672]
1248895 downloaded [279/11672]
123709 downloaded [265/11672]
12408276 downloaded [268/11672]
12160911 downloaded [236/11672]
12450071 downloaded [273/11672]
12607053 downloaded [291/11672]
12496261 downloaded [281/11672]
12694768 downloaded [302/11672]
12467005 downloaded [275/11672]
12644061 downloaded [297/11672]
12451640 downloaded [274/11672]
12600382 downloaded [290/11672]
12369277 downloaded [264/11672]
12652643 downloaded [298/11672]
12580477 downloaded [289/11672]
12615446 downloaded [292/11672]
12538374 downloaded [288/11672]
126218 downloaded [293/11672]
12670770 downloaded [299/11672]
12678601 downloaded [300/11672]
12508268 downloaded [283/11672]
12533811 downloaded [287/11672]
12524259 downloaded [285/11672]
12525049 downloaded [286/11672]
12624008 downloaded [294/11672]
12275533 downloaded [256/11672]
1278431 downloaded [311/11672]
128454 downloaded [317/11672]
12678870 downloaded [301/11672]
12940613 downloaded [322/11672]
12510878 downloaded [284/11672]
12632096 downloaded [295/11672]
12800777 downloaded [312/11672]
12766474 downloaded [310/11672]
12923641 downloaded [320/11672]
1287123 downloaded [319/11672]
12760674 downloaded [309/11672]
12863633 downloaded [318/11672]
1281505 downloaded [313/11672]
12755462 downloaded [308/11672]
12697630 downloaded [303/11672]
1274455 downloaded [306/11672]
12744567 downloaded [307/11672]
12743620 downloaded [305/11672]
12735388 downloaded [304/11672]
12986778 downloaded [331/11672]
12469386 downloaded [276/11672]
12817939 downloaded [314/11672]
13090893 downloaded [342/11672]
13032689 downloaded [337/11672]
12822541 downloaded [315/11672]
12965761 downloaded [328/11672]
13046291 downloaded [339/11672]
12927849 downloaded [321/11672]
13048472 downloaded [340/11672]
12986807 downloaded [332/11672]
12980373 downloaded [330/11672]
12953226 downloaded [326/11672]
12958919 downloaded [327/11672]
12977245 downloaded [329/11672]
12989604 downloaded [333/11672]
13035077 downloaded [338/11672]
12948099 downloaded [323/11672]
1295111 downloaded [325/11672]
1264319 downloaded [296/11672]
13250922 downloaded [362/11672]
13026402 downloaded [335/11672]
12950294 downloaded [324/11672]
13171876 downloaded [351/11672]
13235258 downloaded [359/11672]
13002461 downloaded [334/11672]
131182 downloaded [346/11672]
13166648 downloaded [350/11672]
13093792 downloaded [343/11672]
13073850 downloaded [341/11672]
1322368 downloaded [357/11672]
13173832 downloaded [352/11672]
1315120 downloaded [348/11672]
13241004 downloaded [360/11672]
13224603 downloaded [358/11672]
13215230 downloaded [355/11672]
13143275 downloaded [347/11672]
13166204 downloaded [349/11672]
13183454 downloaded [353/11672]
13474291 downloaded [379/11672]
12836042 downloaded [316/11672]
13386503 downloaded [371/11672]
13482075 downloaded [382/11672]
13314457 downloaded [366/11672]
13117073 downloaded [345/11672]
13293158 downloaded [363/11672]
13108445 downloaded [344/11672]
13210191 downloaded [354/11672]
13391185 downloaded [372/11672]
13247801 downloaded [361/11672]
13361027 downloaded [370/11672]
13455674 downloaded [377/11672]
13409151 downloaded [373/11672]
13317419 downloaded [368/11672]
13599884 downloaded [399/11672]
13455953 downloaded [378/11672]
13478040 downloaded [380/11672]
13532663 downloaded [391/11672]
13316346 downloaded [367/11672]
1344018 downloaded [375/11672]
13030280 downloaded [336/11672]
13331639 downloaded [369/11672]
13482262 downloaded [383/11672]
1347977 downloaded [381/11672]
13513663 downloaded [386/11672]
13313278 downloaded [365/11672]
1362589 downloaded [402/11672]
1353770 downloaded [393/11672]
13574687 downloaded [397/11672]
13301895 downloaded [364/11672]
13529466 downloaded [390/11672]
13438207 downloaded [374/11672]
13536606 downloaded [392/11672]
13604200 downloaded [400/11672]
13521194 downloaded [388/11672]
13582837 downloaded [398/11672]
13803864 downloaded [419/11672]
1371589 downloaded [411/11672]
13626450 downloaded [403/11672]
135598 downloaded [395/11672]
13522325 downloaded [389/11672]
13518809 downloaded [387/11672]
13846680 downloaded [422/11672]
13504844 downloaded [385/11672]
13220032 downloaded [356/11672]
13821299 downloaded [420/11672]
13761956 downloaded [417/11672]
13611090 downloaded [401/11672]
13650422 downloaded [406/11672]
13708425 downloaded [410/11672]
13945283 downloaded [431/11672]
13683298 downloaded [408/11672]
13556444 downloaded [394/11672]
13492423 downloaded [384/11672]
1372887 downloaded [413/11672]
13722870 downloaded [412/11672]
13764881 downloaded [418/11672]
14001430 downloaded [439/11672]
13851202 downloaded [423/11672]
13758665 downloaded [415/11672]
13685271 downloaded [409/11672]
13647631 downloaded [405/11672]
14025912 downloaded [442/11672]
13839120 downloaded [421/11672]
13662809 downloaded [407/11672]
13452889 downloaded [376/11672]
13944422 downloaded [430/11672]
14005031 downloaded [440/11672]
13893596 downloaded [426/11672]
13756293 downloaded [414/11672]
13995824 downloaded [437/11672]
13997673 downloaded [438/11672]
13955608 downloaded [432/11672]
14105623 downloaded [451/11672]
13923256 downloaded [428/11672]
14154221 downloaded [459/11672]
13959634 downloaded [433/11672]
13629812 downloaded [404/11672]
13972452 downloaded [435/11672]
14087893 downloaded [446/11672]
13890468 downloaded [425/11672]
13935001 downloaded [429/11672]
14047624 downloaded [443/11672]
